"","x"
"2987","ㄹㅇ 좌파 페미타령하는 베댓에 좋아요 박는게 현재 대한민국 젊은 남자 평균능지라는게 ㅈㄴ 한탄만 나오네ㅋㅋㅋㅋ 그럼 종족 다르다고 다 죽이는 묘족은 우파 통베충이냐구욬ㅋㅋㅋㅋㅋ이렇게 써도 니들은 능지가 딸려 이해를 못하겠지ㅋㅋㅋㅋ ㄹㅇ 한탄만 나오놐ㅋㅋㅋㅋㅋ 아니 이정도면 그 능지 처참에 감탄이 나오겠누"
"2988","아ㅋㅋㅋㅋ 좌파 페미는 아무튼 맞지만 우파가 사람 밑으로 쳐부려먹으려는건 아무튼 아니라구요 빼애애액ㅋㅋㅋㅋ쌉ㅋㅋㅋㅋ"
"2989","언냐들...?"
"2990","팩트폭격기 뭐 그냥 지능형 안티 이런거네..."
"2991","라샹족 그분들 풍자같은데 ㅋㅋㅋ"
"2992","ㄹㅇ 좌파 페미타령하는 베댓에 좋아요 박는게 현재 대한민국 젊은 남자 평균능지라는게 ㅈㄴ 한탄만 나오네ㅋㅋㅋㅋ 그럼 종족 다르다고 다 죽이는 묘족은 우파 통베충이냐구욬ㅋㅋㅋㅋㅋ이렇게 써도 니들은 능지가 딸려 이해를 못하겠지ㅋㅋㅋㅋ ㄹㅇ 한탄만 나오놐ㅋㅋㅋㅋㅋ 아니 이정도면 그 능지 처참에 감탄이 나오겠누"
"2993","라샹족이 뭐냐 ㅆㅋㅋㅋㅋㅋㅋㅋㅋㅋ 감 개떨어졌네 쳐놀더니 암거나 막그리네 ㅋㅋㅋㅋㅋ"
"2994","아니 유한성 자꾸 남자냐 여자냐하는 애들은 신탑 제대로 본거 맞냐??"
"2995","이만한 문량과 내용으로.와주신 작가님의 댓창에 왠 정치성이람.. 어휴.."
"2996","좌파 페미가 저러는건 맞지만 우파가 묘족마냥 사람을 죽이진 않는데 무슨 개떡같은 논리로 댓글창 아작내는거임? 지가 진짜 맞는말 하고 있는줄 아나?"
"2997","그냥... 웹툰이야기만 하자 사상 이야기는 각자 하는 커뮤니티 가서 합니다. 여기서까지 싸울필요 없어요..."
"2998","ㄹㅇ 좌파 페미타령하는 베댓에 좋아요 박는게 현재 대한민국 젊은 남자 평균능지라는게 ㅈㄴ 한탄만 나오네ㅋㅋㅋㅋ 그럼 종족 다르다고 다 죽이는 묘족은 우파 통베충이냐구욬ㅋㅋㅋㅋㅋ이렇게 써도 니들은 능지가 딸려 이해를 못하겠지ㅋㅋㅋㅋ ㄹㅇ 한탄만 나오놐ㅋㅋㅋㅋㅋ 아니 이정도면 그 능지 처참에 감탄이 나오겠누"
"2999","이번 화 레전드..."
"3000","ㄹㅇ 좌파 페미타령하는 베댓에 좋아요 박는게 현재 대한민국 젊은 남자 평균능지라는게 ㅈㄴ 한탄만 나오네ㅋㅋㅋㅋ 그럼 종족 다르다고 다 죽이는 묘족은 우파 통베충이냐구욬ㅋㅋㅋㅋㅋ니들 논리 그대로 적용했는데 능지가 딸려서 이해를 못하냐"
"3001","하라챠 수고했어"
"3002","와.. 분량 미쳤다.. 그저 갓.."
"3003","흑백논리를 잘도 씨부려놨네ㅋㅋ 닉은 팩트폭격기인데 논리가 왜저럼?"
"3004","하라챠 불쌍한 조연.."
"3005","ㄹㅇ 좌파 페미타령하는 베댓에 좋아요 박는게 현재 대한민국 젊은 남자 평균능지라는게 ㅈㄴ 한탄만 나오네ㅋㅋㅋㅋ 그럼 종족 다르다고 다 죽이는 묘족은 우파 통베충이냐구욬ㅋㅋㅋㅋㅋ"
"3006","미쳤다"
"3007","그분들이 생각나네요.... ""해줘"""
"3008","하라챠는 그저 열심히 종족이 지금보다 더나은 모습으로 되길 바랬을 뿐이었는데 그것이 되려 욕심을 키우는 비극의 씨앗까지 뿌리는 결과까지 만들었으니.....참으로 씁쓸하네요...."
"3009","와 솔찍히 마지막에 로맨스인지 알고 설랬다"
"3010","ㄹㅇ 좌파 페미타령하는 베댓에 좋아요 박는게 현재 대한민국 젊은 남자 평균능지라는게 ㅈㄴ 한탄만 나오네ㅋㅋㅋㅋ 그럼 종족 다르다고 다 죽이는 묘족은 우파 통베충이냐구욬ㅋㅋㅋㅋㅋ"
"3011","정치얘기 스탑잇..성별얘기 스탑잇.. 목빠지게 기다린 작품 댓글창 망하는거 보고싶지 않아용~"
"3012","여기서 자기 사상이야기 하는사람들 보면 참 답답함 물흐리지 말고 그냥 다른 sns가서 이야기하세요 댓글창에서는 웹툰이야기만 해주세요 제발"
"3013","이타치여?"
"3014","근데 진짜 3주뒤 싸울거 같다"
"3015","마치 '해줘'세대네ㅋㅋㅋㅋ"
"3016","근데 예전에 남자인지 여자인지 헷갈렸던 그 유한성이 맞냐ㄹㅇ유한성 이제보니 잘생겼네"
"3017","그건 나한테도 있잖아 와 소름 돋네"
"3018","이걸 페미 좌파로 엮는 능지 딸린놈들 보소ㅋㅋㅋㄱ 그럼 베충 우파는 종족 다르다고 다 죽이려드는 묘족이노? ㅋㅋㅋㅋㅋ 어 잠깐 딱 맞노"
"3019","좌파가 뭔데... 제발 작품이야기만 해 물흐리지 말고... 너네 일루미나티냐"
"3020","이런 내용을 보려 그 동안 기다린 건가? 시간이 많아 불필요한 내용 구상에 전념한 모양이다. 쿠키 아깝다고 생각했다."
"3021","하... 사랑합니다"
"3022","와...하라챠가 맹수화에서 원래대로 돌아오는 데 시간이 걸리는 것이 단점이라고 말한게 이유가 있었네 바로 원상태로 안바뀌니까 빨려들어간거네...시우작가님 그는 신인가"
"3023","ㄹㅇ 능지 ㅈㄴ 딸리네ㅋㅋㅋㄱㅋ 같은 인간이라는게 쪽팔리노... 그럼 다른 종족 다 죽이는 묘족은 우파냐ㅋㅋㅋㄱㅋ"
"3024","라샹족에 대한 이야기 너무 슬프고 화난다.. 하라챠 개불쌍해"
"3025","분량 폭발이라서 꼼꼼히 읽었더니 20분 넘게 걸렸ㄸㅏ...."
"3026","좌파 페미가 하는짓을 그대로 묘사하셨군여 작가님"
"3027","정말 명작이다 명작"
"3028","ㅣ 결제까지 할수있게 너무 감사합니다 진짜 오래 기다렸습니다"
"3029","쿠키 6개가 한순간에,,"
"3030","아 분량많은건 좋은데 설명이 너무 많아서 보기힘듬"
"3031","william 이 분 베댓 네이버가 지우면 레전드 ㅋㅋㅋㅋㅋㅋ 사상 인증하는거지 ㅋㅋㅋㅋㅋㅋ"
"3032","ㅋㅋㅋ평등하길원하나 무엇도 하지않는다ㅋㅋㅋ지금 실태를 그대로 보여주네"
"3033","우와.. 이제 끝나겠지 하고 스크롤 확인했는데 반도 안내려왔어;;"
"3034","유한성 자하드에 아들일듯"
"3035","묘족은 핍박받던 자들의 집단이면서 또다른 종족을 핍박한 가해자인거네"
"3036","분량 줄이세요 제발.... 아님 쿠키 값을 높이가나"
"3037","다른 웹툰 8화를 한 화에 담아낸 정도로 분량이 ㄹㅇ 경이롭다"
"3038","통구이틀딱들 어떻게든 정치랑 엮어보려는거 혐오스럽노ㅋㅋㅋㅋㅋㅋ 그럼 다른 종족 다 죽이는 묘족은 우파냐"
"3039","라샹족이 문제가 있다는 사실은 변하지 않지만, 하라챠와 독자들이 간과하고 있는 건 애초애 모든 비극의 시초가 '묘족이 라샹족을 침입했기 때문'임... 결국 근본적인 문제점에서 벗어나 라샹족과 하라챠가 서로 대립하게 된 게 참..."
"3040","미리보기 4개였어... 밑 댓아..."
"3041","저 엑스트라 얘기가 이렇게 길게 나온 건 유한성이 어떤 인물인지 대비해서 알려주기 위함인 거 같다"
"3042","ㅋㅋㅋㅋㅋ쿵쾅 쿵쾅 알리스타들 저격이네 ㅋㅋㅋㅋㅋㅋ케틀 궁급 저격 지렸습니다."
"3043","마즘ㅋㅋ 별거에도 성차별 들먹이면서 피해의식ㄷㄷ 평범한 손모양도 성차별이람서 에효.."
"3044","ㅇㄴ 여기까지와서 ㅍㅁ 거리면서 그러고 싶냐 신의탑 댓글창도 성별싸움으로 만들래? 제발 그냥 작품만 즐기면 안됨?"
"3045","밤 점프 괴물 야마 아버지인듯"
"3046","애반캘은 어쩌면 야스라챠도 제어를 포기한 맹수를 상대하려는 같은데 스나이퍼한테 들은 정보로 얼마나 위험한 놈인지 알아서 자신만이 상대할 수 있다고 생각하고"
"3047","라샹족이 좌파면 힘 있다고 다른 종족 학살하고 밑으로 꿇리고 다니는 묘족은 우파냐ㅋㅋㅋㅋㅋ 특징 ㄹㅇ 닮긴 했네"
"3048","진짜 끝이야??"
"3049","야 갑자기 소름돋는데 예전에 누가 그랬었는데 정확한 이유는 기억안나지만 유한성도 홍등가의 왕자다 이런 말이 있었는데오늘에서야 그 떡밥이 풀리는거같다"
"3050","유한성은 남자입니다"
"3051","이번 게임도 6달 이상 가는건 아니겠죠.."
"3052","내려도내려도 끝이없어 아 행복해..."
"3053","유한성 진짜 홍등가의 왕자인가 근데 별점 왜이람?"
"3054","솔직히 다른 만화였으면라샹(1)하면서 5화는 잡아먹었음"
"3055","결국 라샹족 = 라헬이네?평등을 주장하면서 정작 평등한 노력은 하지 않음"
"3056","불쌍한건 알겠는데 엑스트라 주제에 분량 잡아먹지마라..!"
"3057","ㅋㅋ평등 ㅋㅋ갑자기 패미가 생각나네 ㅋㅋ 대표적인 평등충들"
"3058","아 시재인 문발럼"
"3059","저 괴물 왠지 야마 아버지일듯.."
"3060","설마 한성이의 또다른 떡밥이 풀리나"
"3061","현실풍자.. 나만 느낀게 아니네"
"3062","라샹족 얘기로 끝나나 했는데 아직 반도 안봤네.. ㅎㄷㄷ"
"3063","후아 재밌다"
"3064","라샹족 짜증나긴하는데 인간본성이 어쩔수없는듯 노력없이 얻기만 하는 삶이 끊임없이 계속되는데 자기개발이며 발전을 할리가... 물고기가 아닌 잡는 법을 가르쳐야한다는 말이 괜히있는게 아님 지금이야 라샹족 노답이라하지만 막상 라샹족입장에있었으면 저들과 다르게 행동할수있는 사람 몇 없을걸?ㅋㅋㅋㅋ"
"3065","하라챠는 자신의 모든 것을 내어주고 자신의 모든 것을 잃었다"
"3066","유한성 이름떡밥 ㄷㄷ"
"3067","음.. 아무리 봐도 풍자네요. 조연에 힘을 많이 주셨네"
"3068","?남자였냐"
"3069","하라챠 개불쌍한데?.. 그나저나 한성인 역시 쿤과 투 탑 사기꾼"
"3070","분량 ㅁㅊ네"
"3071","크........ 막 베댓들을 보니 아직은 대한민국의 미래가 밝다는 생각을 하게 되네"
"3072","왜 우리나라가 지금 생각나냐....."
"3073","크....... 지린다"
"3074","분량 레전드 ㄹㅇ."
"3075","이 웹툰의 신은 만신 시우다......"
"3076","이게 ""낭만"""
"3077","그저.... ""해줘"""
"3078","유한성 이름 자체가 떡밥이라고 작가님이 말하신 적 있는데 여기서 나오네.."
"3079","비중없는 인물이라 없어도 될 편인 거 같으면서도 1편의 짜임새가 완벽하네"
"3080","굳이 정치얘기 성별얘기 꺼내야 해요?ㅠㅠ 그냥 맘 편히 웹툰만 보고 싶어요"
"3081","아직 한편 남았다!"
"3082","... 작가님 바꼇나요? 왜케 변한거같지 느낌이"
"3083","라샹족 페미년들 보는것 같네"
"3084","하라챠는 화성 가끄니까아~"
"3085","와 분량 ㄹㅇ실화냐..하나를 봤는데.."
"3086","유한성 남자인걸 이제 알게된 당신들은............."
"3087","현실 풍자 오진다 와"
"3088","한마디만하고갈게요 신의탑만세~♡<U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2880><U+2820><U+2864><U+28E4><U+28F6><U+2892><U+28F6><U+28EE><U+28DF><U+285D><U+28A6><U+28C0><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2880><U+28D4><U+289F><U+28F3><U+2893><U+28FF><U+28EF><U+285F><U+2857><U+28BE><U+287B><U+285F><U+28DF><U+28BD><U+28EF><U+28F3><U+2800><U+2800><U+2800><U+2874><U+28F1><U+28E3><U+28FF><U+28A3><U+287F><U+28A8><U+2833><U+28FD><U+287D><U+28F6><U+2859><U+289D><U+289E><U+28DF><U+287B><U+287F><U+2846><U+2800><U+2800><U+2800><U+2800><U+2800><U+28B0><U+2869><U+2881><U+286F><U+28D9><U+28CC><U+289E><U+287B><U+28A7><U+28DC><U+28B9><U+28B9><U+28BF><U+280C><U+2856><U+28FC><U+28B2><U+2877><U+28E7><U+2800><U+2800><U+2800><U+2800><U+2800><U+285E><U+28FF><U+287F><U+28C1><U+28B0><U+282A><U+28D5><U+28FF><U+28EE><U+28BC><U+28BF><U+28B8><U+28E0><U+28B1><U+28B8><U+28BF><U+28FE><U+2837><U+28DF><U+2844><U+2800><U+2800><U+2800><U+2800><U+28A7><U+28FF><U+28A7><U+28FF><U+28FE><U+28F6><U+2867><U+28E7><U+28FF><U+28FF><U+28FF><U+28DE><U+28EF><U+2898><U+28CE><U+28FF><U+280A><U+2812><U+28DC><U+2807><U+2800><U+2800><U+2800><U+2800><U+2818><U+28A6><U+28FC><U+28DF><U+28FF><U+28FF><U+2808><U+2809><U+2819><U+28BB><U+28FF><U+287F><U+28B7><U+28BB><U+281B><U+2847><U+2842><U+28F0><U+280E><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+28F9><U+2846><U+2889><U+280B><U+2866><U+2800><U+2800><U+280A><U+2809><U+2800><U+28F8><U+28DE><U+28DC><U+28F5><U+2863><U+285E><U+28A4><U+2840><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+28FF><U+2821><U+2840><U+2800><U+2889><U+28C0><U+28C0><U+2800><U+2800><U+28A0><U+28C7><U+28BB><U+2809><U+285D><U+28F7><U+280B><U+28B3><U+2867><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+283B><U+2846><U+2808><U+2832><U+28A4><U+28C0><U+2860><U+2834><U+280A><U+28F8><U+281F><U+2800><U+288F><U+28FF><U+280A><U+28C6><U+2838><U+2803><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2808><U+2800><U+2800><U+28E0><U+2847><U+2800><U+2880><U+28E0><U+28FF><U+28F6><U+2844><U+2800><U+2801><U+2809><U+2809><U+2809><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2880><U+28E0><U+28E4><U+28E4><U+28F6><U+28FF><U+28FF><U+28FE><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28F6><U+28E4><U+28E4><U+28C4><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+28A0><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28F7><U+2800><U+2800><U+2800><U+2800><U+2800><U+28FC><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+2847><U+2800><U+2800><U+2800><U+28A0><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28E7><U+2800><U+2800><U+2800><U+28B8><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+2844><U+2800><U+2800><U+28FE><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+2847><U+2800><U+2880><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28BB><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF>(열심히 그렸습니다... 추천좀 부탁드려요 여러분)"
"3089","라샹족 얘기만 하다 끝나는 줄 알았는데 그만큼 분량을 더 뽑아버리네"
"3090","그걸 이제 알게된게 더 놀랍다 야.."
"3091","밤은 무조건 점프루트로 가겠네요ㅋㅋ"
"3092","유한성 남자인거 이번화로 알게됨 ㅋㅋㅋㅋㅋㅋ 그동안 여자로 알고있었다..."
"3093","라샹족 아......인성"
"3094","유한성 떡밥 미친.."
"3095","유한성 남자였음?"
"3096","역시 무지성 '해줘'"
"3097","사랑했기 때문이다.."
"3098","지렸다한성아지렸습니다작가님"
"3099","역시 이 작가는 천재야.."
"3100","배댓님 72화에 260화라고..."
"3101","이 화는 혀가 긴화네"
"3102","ㄹㅇ 근데 이건 현실 풍자한거 같다. 평등을 외치면서 평등할려는 노력은 절대 안함. 자신들이 원하고 불리한것만 평등을 외침"
"3103","하라챠 멋있다...."
"3104","라샹족이 좌파특징 다가지고있네ㅋㅋㅋㅋㅋㅋ 노력없이 가진놈들거 뺏으려는 부류들"
"3105","4화보는데 40분걸렸다 분량 미쳤다... 그만큼 꼼꼼히 보는중!"
"3106","핑프.."
"3107","작가님 이별하셨나..."
"3108","역시 유한성 헨도가문이랑 연관있네"
"3109","엑스트라의 회상으로 1화를 날려버리시네 내 최애웹툰에서 탈락이다"
"3110","아니 분량 버그걸렸나? 왜케 마너ㅋㅋ 아니 몰폰 중 인데 걸리면 작가님이 책임지세요!"
"3111","쿵쾅이들얘기네이거ㅋㅋ"
"3112","하랴쟈 멋있는 놈이네.."
"3113","분량도 미쳣고 유한성도 존나 멋있다......"
"3114","신의탑에 라샹족이 있다면 대한민국엔 해줘족이 있다"
"3115","미쳤나보 한성이 작화 왜이렇게 좋아졌어 ㅋㄱㅋㄱㅋㅋㅋ 진짜 완전 이쁘네.... 대박"
"3116","때로는 믿음이 진실의 가장 큰 적일때가 있죠"
"3117","""검열 해줘"""
"3118","유한성 알고보니 쿤가문의 숨겨진 자식 아님?사기쿤이랑 똑같누"
"3119","분량 미쳤다 진짜"
"3120","핸도 가문은 단명한다는 특성때문에 랭커되기가 거의 불가능이고 가문 구성원도 입양이나 다른 가문에서 데려온다는걸로 봐선 유한성이 헨도 가문이라고 하기엔 너무 오래살았는데 헨도 가문 사람이 아니아 헨도 가주한테 저주 비슷한걸 받은건가?"
"3121","악역이지만 멋드러진 캐릭 설정에, 현실 풍자스러운 내용이 더해지니 감명깊네요."
"3122","""해줘"""
"3123","여기다 똥묻히지맙시다 여러분"
"3124","정말 아프신데 너무 고생많으십니드 작가님 ㅠ 분량 넘 많은데 잘 치유하시고 하시는지 모르겠네요 ㅠㅠ"
"3125","하라챠 이야기 안궁금한데."
"3126","분명 하나의 스토리인데 왤케 지금 한국 사회의 일면을 보는거 같냐"
"3127","와...이번 스토리는 우리 사회를 관통하는 내용이었다."
"3128","분별없이 주는 사랑은 독인데"
"3129","라샹족 결말이랑 페미들 결말이랑 같았으면 좋겠당"
"3130","어 이거 완전...?"
"3131","하라챠 스토리 완전 슬프네.."
"3132","와 헬퍼 과거만 보다가 신의탑 과거보니 진짜가 돌아왔다는것이 느껴진다"
"3133","이번편은 보고서 좀 씁쓸해지네요.."
"3134","하라챠... 한 화만에 나를 매혹시켰는데 가버림..."
"3135","당연히 유 한성 안 죽을 줄알고 넘겼습니다. 틀리지 않았군요 그냥 지나가겠습니다"
"3136","ㄴr는 가끔 눈물을 흘린ㄷr forever~<U+2764><U+FE0F>"
"3137","이거 완전 k-페미아니냐?"
"3138","분량 미쳤다"
"3139","정말 SIU 작가이기에 가능한 풍자다 ㅋㅋㅋㅋㅋㅋ 솔직히 일반 작가가 이렇게 했으면 지금 쯤 ""그 분들"" 한테 깔려서 검열 당함"
"3140","유한성 자하드왕자인거같은데?"
"3141","어엇? 남자였어?"
"3142","야스라챠조차 포기한 맹수 = 밤은 잡을 수 있는 맹수떡밥 나왔네요"
"3143","유한성..남자였지 참.."
"3144","할렐루야"
"3145","분량 무엇 ㅠㅠㅠ ㅋㅋ 좋다"
"3146","컷은 다 언제셈ㅋㅋㅋㅋㅋㅋ"
"3147","역시 신의 분량"
"3148","하라챠!독박병역 ""해줘""독박벌이 ""해줘"""
"3149","야 우냐?"
"3150","와.. 분량봐 영화한편본줄알았네;"
"3151","유한성이 남자라고 했을 때 나만 웃겼냐ㅋㅋ"
"3152",""" UH NA GA"""
"3153","야스라차가 통찰력있네 생각외로 자기부하를 생각하는 착쁜놈이네"
"3154","호의가 계속되면 둘리인줄 안다는 말이 적절하겠군"
"3155","유한성 파편 이라고 했는데.. 설마 마지막 가시조각 뭐 그런거 아니겠죠....??파편 이라는 의미가 몇개 더 있긴 하지만마지막 가시조각 뭐 이런거면 작가님 설정.. 개소름.... 와.."
"3156","호의가 계속되면 그게 권린줄 아는거지 ㅋㅋㅋㅋ"
"3157","근데 이거 순위 오류났나?왜 아직 9위임????"
"3158","야 유한성 비녀 그 키 아니냐? 위층으로 올라갈수 있는 키"
"3159","유한성 간지ㄷㄷ"
"3160","야스라챠 조차 제어하기 힘들었다=이김 플래그 온"
"3161","사단장 과거로 1화 사라지는거 아찔하구만"
"3162","컷이 안끝나네 ㅋㅋㅋㅋ"
"3163","우리 밤 랭커보다 강해ㅠㅠㅠㅠ"
"3164","내려도 내려도 끝이 없네요.. 정말 좋습니다"
"3165","이게 유한성이지..."
"3166","낭만있네...빅딜에 들어와라"
"3167","베댓의 헨도 가문 추측은 잘못된 정보입니다.오히려 반대로 10가주 중 헨도 록 블러드메더만관리자와의 불로불사 계약을 하지 못 했습니다.그 이유는 아직 미공개되었습니다."
"3168","월요병은 신의탑으로 치료한다..."
"3169","아 분량 아깝다"
"3170","역시 시우느님"
"3171","파편은 무슨 뜻이려나..."
"3172","“유한성이 유한성했네”"
"3173","해줘 ㅋㅋㅋㅋ"
"3174","가진자에게서 뺏으려고만 하고 평등만외치다가 망한 xxx들이군요. 라샹족..."
"3175","아니 저 고양인가 암튼 걔가 분량 다 말아먹은줄 알았는데 반절밖에 안와있어...SIU당신은 도데체......"
"3176","내용핵심은 해줘한테 사이다"
"3177","여기서 유한성의 출생이 밝혀졌구먼!!!!"
"3178","알고보니깐 유한성 노란머리인거 보면 막 홍등가의 왕자 이런거 아니냐; 뭐가 나와도 이상하지 않을 것 같네"
"3179","하랴차도 자신의 종족을 저렇게 까지 사랑한 것도 대단하고유한성씨는 얼마나 더 많은 힘을 숨기고 있는지 대단하다"
"3180","유한성 떡밥이 드디어 나왔다ㅜㅜ"
"3181","헨도가문 가주랭킹16위-헨도 록 블러드메더직계 혈통을 보유한 인물이 가장 많은 가문이지만, 가주인 헨도 록 블러드매더와 얽힌 모종의 이유 탓에 이들은 모두 단명하며, 설령 랭커가 된다 하더라도 신수를 이용한 불로영생 자체가 아예 불가능하다고 한다.이 ""단명의 저주"" 때문에 헨도 가문은 10가문 중에서도 랭커의 수가 가장 적으며, 세력 역시 10가문 중 가장 약하다. 이 때문에 가문을 이끄는 중역들은 전원 모두 '블러드매더'의 직계 혈통이 아닌 양자, 양녀들이 가문의 구성원은 아직 등장하지 않았으나, 2부 219화에서 자하드의 공주인 헨도 록 글래드메리 자하드의 이름이 언급되었으며, 2층 총 시험 감독관인 유한성이 이 가문의 가주인 '헨도 록 블러드매더'와 연관이 깊다고 한다.그래서 단명이라 '유한'성인가보다"
"3182","스윗냥 하라챠..."
"3183","??? : 네이버 웹툰 신의탑 4대 웹툰 크루 통합"
"3184","진짜 엄...청 읽어서 아 끝나겠다... 했는데 반도 안 온 사실에 진짜....여긴 뭐지 천국인가...싶었다"
"3185","UH, NU NA GA"
"3186","작가님 혹시 차이셨나요?.......이해합.......니다"
"3187","작가님의 손목님!!! 제발 오래오래 건강하세요!!"
"3188","와... 유한성은 힘을 숨기는걸까?"
"3189","""해줘""어떤 단체가 떠오르는 건 나뿐인가"
"3190","항상 건강하세요 작가님 건강이 가장 중요해요!!"
"3191","그냥 분량 지렸네"
"3192","군대 가기 하루전 최고의 선물"
"3193","점핑루트 떡밥 밤 저기로 가겠군..."
"3194","라샹족 과거 이야기 굳이 왜 보여주나 싶었는데 도망치는 와중에도 이거줘 저거줘 빼액거리는게 그 집단 보는 것 같네"
"3195","메갈대장 라샹족ㅋㅋㅋㅋㅋㄱ-해조-"
"3196","유한성 지금보니까 자왕난이랑 닮았어요"
"3197","유한성 홍등가의 왕자 같은데"
"3198","이번 화는 작가의 말까지 완벽하다... 무엇보다 베댓 말대로 헨도 가문 떡밥이 나온게 진짜 큰 의미인 듯"
"3199","대사만 ㅈㄴ게 많네"
"3200","유한성의 의미가 중요한 떡밥될듯"
"3201","옷 찢어졌는데 다시 붙었네.."
"3202","내려도내려도 끝이 없다"
"3203","拉上 [ l<U+0101><U+2027>shang ] 라샹1. 끌어올리다2. 끌어들이다멱살캐리해서 끌어올려줬는데도 개트롤하는 ㅈ샹족 클라쓰"
"3204","진짜 미친웹툰이네.. 다른것 보다 유한성보다 더 지능케는 안나왔으면 좋겠다. 유한성이 머리로 발리는 모습은 보고 싶지 않아"
"3205","유한성 = 왕자네요"
"3206","귀칼에 오니가 죽을 때 과거회상하듯이 그런 느낌 주네요. 슬프네 ㅠ"
"3207","계속 200컷 넘다가 저번에 160컷인가 그렸는데 잼민이들이 초심잃었네 하면서 뭐라하고 손목 다쳐서 휴재했더니 욕이란 욕은 다박고...이런데 계속 하고 싶으시겠냐 우린 응원만하자.. 그래야 이런웹툰 오래보지.."
"3208","눙물겹노"
"3209","ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저 엑스트라한테 한 화 분량 몰빵해준 이유는 현실 풍자 아닐까""해줘"""
"3210","저 한번만 베댓점요 ㅎㅎ"
"3211","미련인지 사랑인지 모를때도 있다"
"3212","떡밥이 넘쳐나~~"
"3213","스크롤을 내려도 내려도 끝이 나질않는다...과거회상에 전투에 죽음까지 한 화에 담아내는 갓 씨유..."
"3214","하라챠 ㅠㅠ"
"3215","평등을 주장하지만 평등하려고 노력하지 않는 거는 지금이랑 같네"
"3216","하라챠 너무불쌍하네 종족때문에 저런 고생도하고"
"3217","평등을 부르짖었지만 평등하게 노력하려고 하지 않았다.. 현실판 ㅍㅁ인데?"
"3218","라샹족 지들만 잘될려하는거 레알 꼴받네"
"3219","분량 쩐다..복귀 선물 감사합니다"
"3220","'그 단체' 저격댓 바로 검열...ㅋㅋㅋ"
"3221","유한성이 태생부터 사기꾼이었다고?!미안하지만 ""원조""는 쿤이야..."
"3222","호의가 계속되면 권리인줄알어ㄷㄷ"
"3223","마지막 괴물은 야마의 아버지일듯 하네요"
"3224","한성이 너는 계획이 다 있구나?"
"3225","컷수 실화인가.."
"3226","잠수타는동안 시간 질질끄는거 그려왓네..."
"3227","한편당 10분씩 보네 ㄷㄷ"
"3228","분량 홀리 몰리"
"3229","10가주중에 관리자랑 계약 못해서 자신가족들을 단명하는대신 영생할수있게된 가주 누구였더라 그거땜에 이름도 유한성이고"
"3230","나락인가..."
"3231","궁금하다 유한성의 비밀"
"3232","라샹족... 마치 페미같군"
"3233","SIU 형 손목 금속 티타늄으로 만든거야? 아니면 양손잡이로 전직한거야? 솔직히 말해 봐 이런 분량 처음이야..."
"3234","그래서 하랴챠가 누군데"
"3235","망할 랴상족때문에 한편을 말아먹었어!"
"3236","라샹족 진짜 그지같네..그저 노력안하고 지들보다 뛰어난 묘족들거 탐내고 평등만 외치는게 참 현 사회의 문제점 이랑 비슷한듯"
"3237","사이타마랑 싸운 외계인같다"
"3238","베뎃 200컷이 넘는다고?? 와..너무 무리하시는건 아닌지..정말 존경합니다 작가님"
"3239","유한성 떡밥이 몇개여ㅋㅋㅋㅋㅋ"
"3240","바로 다질렀다. 후회는 없다."
